Date,Timestamp ,Value
24-May,20200524420,25906
24-May,20200524419,25890
24-May,20200524418,25877
24-May,20200524417,25876
24-May,20200524416,25873
24-May,20200524415,25860
24-May,20200524414,25859
24-May,20200524413,25854
24-May,20200524412,25857
24-May,20200524411,25859
24-May,20200524410,25866
24-May,20200524409,25866
24-May,20200524408,25850
24-May,20200524407,25843
24-May,20200524406,25863
24-May,20200524405,25863
24-May,20200524404,25854
24-May,20200524403,25857
24-May,20200524402,25851
24-May,20200524401,25845
24-May,20200524400,25858
24-May,20200524399,25855
24-May,20200524398,25858
24-May,20200524397,25858
24-May,20200524396,25862
24-May,20200524395,25859
24-May,20200524394,25855
24-May,20200524393,25842
24-May,20200524392,25841
24-May,20200524391,25826
24-May,20200524390,25827
24-May,20200524389,25828
24-May,20200524388,25837
24-May,20200524387,25822
24-May,20200524386,25832
24-May,20200524385,25824
24-May,20200524384,25837
24-May,20200524383,25831
24-May,20200524382,25839
24-May,20200524381,25857
24-May,20200524380,25849
24-May,20200524379,25839
24-May,20200524378,25836
24-May,20200524377,25813
24-May,20200524376,25826
24-May,20200524375,25823
24-May,20200524374,25812
24-May,20200524373,25805
24-May,20200524372,25818
24-May,20200524371,25821
24-May,20200524370,25817
24-May,20200524369,25815
24-May,20200524368,25814
24-May,20200524367,25818
24-May,20200524366,25809
24-May,20200524365,25816
24-May,20200524364,25814
24-May,20200524363,25805
24-May,20200524362,25790
24-May,20200524361,25789
24-May,20200524360,25793
24-May,20200524359,25791
24-May,20200524358,25799
24-May,20200524357,25818
24-May,20200524356,25825
24-May,20200524355,25821
24-May,20200524354,25812
24-May,20200524353,25818
24-May,20200524352,25818
24-May,20200524351,25836
24-May,20200524350,25831
24-May,20200524349,25841
24-May,20200524348,25858
24-May,20200524347,25865
24-May,20200524346,25870
24-May,20200524345,25870
24-May,20200524344,25853
24-May,20200524343,25875
24-May,20200524342,25884
24-May,20200524341,25892
24-May,20200524340,25883
24-May,20200524339,25877
24-May,20200524338,25874
24-May,20200524337,25878
24-May,20200524336,25887
24-May,20200524335,25888
24-May,20200524334,25896
24-May,20200524333,25894
24-May,20200524332,25903
24-May,20200524331,25911
24-May,20200524330,25907
24-May,20200524329,25900
24-May,20200524328,25919
24-May,20200524327,25929
24-May,20200524326,25931
24-May,20200524325,25935
24-May,20200524324,25927
24-May,20200524323,25928
24-May,20200524322,25920
24-May,20200524321,25925
24-May,20200524320,25902
24-May,20200524319,25906
24-May,20200524318,25910
24-May,20200524317,25928
24-May,20200524316,25928
24-May,20200524315,25930
24-May,20200524314,25925
24-May,20200524313,25929
24-May,20200524312,25913
24-May,20200524311,25920
24-May,20200524310,25920
24-May,20200524309,25918
24-May,20200524308,25901
24-May,20200524307,25882
24-May,20200524306,25879
24-May,20200524305,25876
24-May,20200524304,25865
24-May,20200524303,25889
24-May,20200524302,25893
24-May,20200524301,25912
24-May,20200524300,25916
24-May,20200524299,25911
24-May,20200524298,25917
24-May,20200524297,25911
24-May,20200524296,25912
24-May,20200524295,25902
24-May,20200524294,25893
24-May,20200524293,25892
24-May,20200524292,25885
24-May,20200524291,25879
24-May,20200524290,25887
24-May,20200524289,25881
24-May,20200524288,25894
24-May,20200524287,25908
24-May,20200524286,25917
24-May,20200524285,25898
24-May,20200524284,25903
24-May,20200524283,25902
24-May,20200524282,25912
24-May,20200524281,25900
